zl zs1 zs2 rein1 rein2 beta betaerr SN1 SN2 mag1 mag2
0.162 0.459 0.610 0.987 1.118 0.8828 0.0148 26.651 27.251 2.292 2.823
0.431 1.328 2.035 1.504 1.746 0.8617 0.0115 21.418 32.809 23.862 6.190
0.553 1.276 1.895 1.352 1.679 0.8052 0.0111 30.725 21.752 9.267 2.645
0.372 1.000 2.249 0.974 1.281 0.7606 0.0124 33.714 20.000 2.799 4.663
0.330 1.906 2.315 1.419 1.468 0.9662 0.0135 21.098 24.510 3.600 4.204
0.230 1.855 3.132 1.924 2.028 0.9487 0.0117 25.252 24.991 2.503 3.181
0.285 0.575 0.992 1.866 2.622 0.7114 0.0085 33.260 60.843 3.147 5.260
0.155 0.660 0.999 1.482 1.631 0.9085 0.0123 22.582 37.766 8.370 4.468
0.101 0.229 0.606 1.135 1.695 0.6707 0.0098 32.550 46.829 2.797 7.367
0.466 1.970 2.551 1.215 1.297 0.9370 0.0141 30.014 23.307 4.211 14.655
0.261 0.901 0.914 1.078 1.084 0.9944 0.0164 37.904 20.143 3.382 4.689
0.336 1.163 1.867 1.655 1.898 0.8722 0.0112 31.285 20.466 9.476 2.655
0.182 0.627 1.353 0.920 1.116 0.8245 0.0142 58.349 20.698 4.878 2.147
0.279 0.681 1.469 1.690 2.299 0.7350 0.0091 84.630 24.347 5.405 6.137
0.480 1.159 2.529 0.687 0.939 0.7309 0.0151 24.820 20.131 2.649 3.249
0.263 1.417 2.809 1.605 1.777 0.9034 0.0118 28.257 40.421 8.842 2.564
0.966 1.507 1.960 0.774 1.088 0.7114 0.0133 22.909 22.598 6.209 2.735
0.398 1.714 2.267 1.471 1.574 0.9342 0.0128 25.200 24.717 2.500 2.751
0.262 0.550 1.295 1.069 1.613 0.6631 0.0100 23.948 31.269 2.627 6.057
0.272 0.726 1.138 0.839 1.015 0.8259 0.0152 20.653 30.531 6.421 3.163
0.259 0.470 0.705 1.059 1.485 0.7131 0.0109 27.812 22.709 2.511 2.695
0.303 0.817 1.129 0.727 0.842 0.8631 0.0179 22.593 73.256 5.062 2.457
1.016 1.523 2.923 0.447 0.866 0.5160 0.0140 24.868 22.900 2.774 22.914
0.287 1.607 2.102 1.562 1.638 0.9538 0.0127 20.468 20.048 12.219 5.527
0.365 0.593 1.460 0.642 1.236 0.5196 0.0105 25.718 22.536 2.919 34.783
0.249 1.206 1.289 1.134 1.152 0.9842 0.0157 56.294 27.465 3.211 2.543
0.186 0.331 2.149 1.191 2.466 0.4846 0.0066 21.011 22.293 20.087 18.462
