image_separation_(arcsec),Hbeta_time_la_(days),magnitude_image1,magnitude_image2or3,magnitude_source,sf_inf,velocity_dispersion_(km/s),z_deflector,z_source
1.647839,96.73288108567162,20.04573,19.712258435001075,20.49,0.18642009718112257,202.3019,0.168,0.72
0.706072,67.2760950629166,21.34235,20.37761650473974,21.03,0.21464364537013195,129.4196,0.174,0.68
0.740557,182.6756650560867,20.87252,20.074373894251583,20.77,0.15585548194171012,126.4736,0.196,1.11
2.079193,53.54028727844947,22.89511,20.591786592864658,23.27,0.2594012606898975,233.3458,0.25,1.11
2.42714,201.57552907145086,22.36046,20.024913741986587,21.05,0.153941009498894,244.9063,0.252,1.26
2.484771,237.15599739672084,22.16737,20.72934806909377,21.79,0.1539670395908538,239.8833,0.28,1.66
1.457219,117.57528601257779,21.72643,20.233583553892206,21.53,0.18565548179513625,201.8366,0.314,1.07
1.861552,78.31038904654275,21.90521,20.763326795226074,22.79,0.2253992949749958,243.2204,0.364,1.2
1.467023,156.5307795096942,21.47614,20.835627807380103,21.83,0.17377542927713502,192.3092,0.372,1.35
1.153403,155.06780190242768,20.01211,17.93420035673912,19.43,0.15251404463723334,221.8196,0.372,0.7
0.8058482,108.77051565754557,21.40235,20.13554321841203,21.09,0.18545469380958376,159.2209,0.376,0.91
2.897347,129.7047986603549,22.32566,20.43869249414543,21.33,0.178241068530927,297.1666,0.384,1.07
2.093776,204.85023555394932,21.10615,20.791991423394222,22.81,0.17175534032815123,236.0478,0.416,1.99
2.141908,168.7193659603226,21.62111,20.720919630735853,21.79,0.1696341080584129,245.4709,0.42,1.39
1.70895,86.87947268368049,21.80604,20.160221500707568,22.45,0.21425175434821045,234.9633,0.426,1.16
0.646903,183.7925506027015,22.14181,19.889796169254765,22.09,0.16872408575838463,133.9677,0.432,1.57
3.315726,147.62497432742938,20.62222,20.59617934053082,21.17,0.1699305107782022,307.6097,0.434,1.1
0.9429354,150.31436573246498,21.83524,20.629894061300888,21.43,0.17162551896619765,173.3804,0.472,1.19
1.923867,92.95808907933231,21.91874,19.5557819004785,21.41,0.1979510590897023,310.456,0.518,0.91
1.651506,203.00458978807995,21.51342,20.902379441319663,22.27,0.1660128620306658,207.4914,0.53,1.73
1.425705,334.8190286581143,21.24761,20.68309871400419,23.11,0.15370442212018967,199.5262,0.556,2.74
0.7760449,220.37817708284092,21.96954,20.782425359107386,21.67,0.15597020528495337,162.181,0.572,1.55
0.6678032,51.1768921238542,21.38842,19.535159183686375,22.07,0.2462920440637969,236.0478,0.612,0.78
1.326703,40.686457162796835,22.40563,20.76646919944154,24.37,0.3002163857511506,234.9633,0.64,1.28
1.060251,103.48658218225594,22.28683,20.888374487200625,21.79,0.1957572146725472,242.661,0.662,1.07
2.248597,82.39795071520496,22.37948,20.959491048057853,24.33,0.24500629865483023,276.0578,0.674,1.83
0.6156855,102.25899941279675,22.07585,20.500875211488797,21.45,0.19272702736741817,207.9697,0.682,0.97
0.508621,75.0356896228701,22.0182,20.848116591136392,22.23,0.22098879049793302,193.6422,0.698,1.01
2.237104,293.9480362169256,22.7151,20.935931729669264,22.57,0.15305224504636453,272.2701,0.698,2.25
0.8182983,52.285120338958365,22.74982,20.62900854214197,24.87,0.28840830318809535,189.6706,0.732,1.66
1.660773,249.4389527725952,21.98828,20.860786475447895,22.85,0.16321773568598222,248.8857,0.764,2.22
1.024849,151.60380765514654,20.71369,20.43897723674411,21.75,0.17453274883526795,233.3458,0.788,1.3
1.131081,256.3142285079029,22.46896,20.94539603956675,22.21,0.15496547113627027,224.9055,0.79,1.92
0.610226,259.1052145619315,22.66969,20.923380366181284,22.25,0.15492633252873342,156.3148,0.828,1.95
1.825373,185.19232577060993,21.00745,20.96497255192502,21.87,0.1660001003475416,304.0885,0.832,1.49
0.5441999,66.72680129222539,21.47461,20.73060615116413,23.21,0.24224334551507753,184.5015,0.842,1.23
1.908173,230.38890936266563,21.13319,20.15622863539258,23.03,0.16890734317818598,250.6109,0.848,2.23
1.782266,245.614288065159,22.06356,20.233671090957365,22.17,0.15637933553568986,279.2544,0.868,1.86
0.9318464,282.51275400762245,21.25986,20.32055169165197,22.41,0.15297966453682135,183.6538,0.892,2.12
1.067344,182.08260902498037,20.95481,20.718764854155815,23.05,0.18036416240604095,224.3882,0.96,1.99
1.639897,313.19640332573016,21.74876,20.996320432091668,22.53,0.15002290203503413,258.226,0.982,2.3
1.521423,171.40745586144902,23.0996,20.88075207329803,22.75,0.1797054053282494,295.1209,0.988,1.79
0.7537183,182.17589310835712,22.01038,20.977338340626254,23.79,0.18997343359722219,203.2357,1.23,2.39
1.810617,267.32383267730967,20.77956,20.323139031137185,23.11,0.1632005477569877,329.6097,1.408,2.45
2.19273,84.03847192487132,22.94401,20.489727109235478,21.15,0.2013954645904485,222.8435,0.158,0.8
2.806256,227.36503441568874,21.52989,20.746492092783825,21.53,0.1532079852941661,232.2737,0.186,1.52
2.459995,132.4910619872251,22.13005,20.53860823147967,23.23,0.19938414338409033,237.1374,0.206,1.77
